Source,Target,Type,Id,Label,Weight,1,2
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5696701,Undirected,153,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5696703,Undirected,154,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4260321,Undirected,155,,1,botanical collector,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5696944,Undirected,156,,1,pedagogue,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4772772,Undirected,157,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4775469,Undirected,158,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2627241,Undirected,159,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q223963,Undirected,160,,1,physician,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21508735,Undirected,161,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21506361,Undirected,162,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16147276,Undirected,163,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16062902,Undirected,164,,1,Christian minister,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q36503037,Undirected,165,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q78746,Undirected,166,,1,university teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21388096,Undirected,167,,1,dentist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q19002377,Undirected,168,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q84579,Undirected,169,,1,politician,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q369737,Undirected,170,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21610873,Undirected,171,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21611332,Undirected,172,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5697511,Undirected,173,,1,physician,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2694949,Undirected,174,,1,photographer,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5697514,Undirected,175,,1,forester,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q3619217,Undirected,176,,1,diplomat,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21513413,Undirected,177,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1248029,Undirected,178,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q19060927,Undirected,179,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5699856,Undirected,180,,1,writer,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2857141,Undirected,181,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q19665251,Undirected,182,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2858458,Undirected,183,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q19272385,Undirected,184,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2861363,Undirected,185,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q678438,Undirected,186,,1,university teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q348006,Undirected,187,,1,biologist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q36503745,Undirected,188,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21613019,Undirected,189,,1,botanical collector,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q26714433,Undirected,190,,1,taxonomist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16029955,Undirected,191,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q696087,Undirected,192,,1,university teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q96906,Undirected,193,,1,zoologist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q15990390,Undirected,194,,1,entrepreneur,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q708394,Undirected,195,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5706952,Undirected,196,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q362245,Undirected,197,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4798733,Undirected,198,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21611254,Undirected,199,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5706975,Undirected,200,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q674391,Undirected,201,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21391745,Undirected,202,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q36510314,Undirected,203,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2865378,Undirected,204,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16647536,Undirected,205,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q18986716,Undirected,206,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2748897,Undirected,207,,1,botanical collector,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21391291,Undirected,208,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q347356,Undirected,209,,1,writer,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1100833,Undirected,210,,1,biologist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q216437,Undirected,211,,1,writer,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q17310399,Undirected,212,,1,veterinarian,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q8209106,Undirected,213,,1,teacher,occupation
