Source,Target,Type,Id,Label,Weight,1,2
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2926444,Undirected,195,,1,Australia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4102944,Undirected,196,,1,Austria,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5734662,Undirected,197,,1,Australia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q702874,Undirected,198,,1,Japan,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q18756405,Undirected,199,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4332701,Undirected,200,,1,Switzerland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1043051,Undirected,201,,1,Uruguay,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1025362,Undirected,202,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5739033,Undirected,203,,1,Singapore,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5017498,Undirected,204,,1,People's Republic of China,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5742024,Undirected,205,,1,Belgium,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q68249,Undirected,206,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q549729,Undirected,207,,1,United Kingdom of Great Britain and Ireland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5749105,Undirected,208,,1,Kingdom of the Netherlands,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q72821,Undirected,209,,1,German Reich,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q104661,Undirected,210,,1,German Reich,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q728729,Undirected,211,,1,Russian Empire,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q63426,Undirected,212,,1,Kingdom of Prussia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q121703,Undirected,213,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2938868,Undirected,214,,1,Brazil,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q719778,Undirected,215,,1,Sweden,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5749270,Undirected,216,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5749273,Undirected,217,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5040009,Undirected,218,,1,Argentina,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q71825,Undirected,219,,1,Kingdom of Prussia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q65980,Undirected,220,,1,Kingdom of Prussia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q77131,Undirected,221,,1,Kingdom of Bavaria,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q8263441,Undirected,222,,1,Grand Duchy of Mecklenburg-Strelitz,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q64544,Undirected,223,,1,Kingdom of Prussia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q55035246,Undirected,224,,1,Austrian Empire,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5749296,Undirected,225,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q63040,Undirected,226,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q121991,Undirected,227,,1,Switzerland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q65685,Undirected,228,,1,Kingdom of Bavaria,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q99616,Undirected,229,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21515921,Undirected,230,,1,Kingdom of Württemberg,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5749308,Undirected,231,,1,Sweden,nationality
